"id","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10"
1,1,1,0,0,0,1,1,0,0,0
2,1,1,0,0,0,1,1,0,0,0
3,0,0,0,0,0,0,1,0,0,1
4,1,1,1,0,1,0,1,1,1,1
5,1,1,1,1,0,1,1,1,1,1
6,0,0,1,0,0,1,0,0,0,0
7,1,0,0,1,0,1,0,1,1,0
8,1,0,0,1,1,0,0,1,0,0
9,1,1,1,1,1,0,1,1,0,1
10,1,0,1,1,1,0,0,0,1,1
11,0,0,0,0,0,1,0,0,0,0
12,0,0,0,1,0,0,0,0,0,0
13,1,1,1,1,0,1,1,1,1,0
14,1,1,1,1,1,1,1,1,0,1
15,0,1,0,1,0,0,0,0,0,0
16,1,0,0,0,1,0,1,0,0,0
17,1,1,0,1,1,0,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1
19,0,1,0,1,0,0,1,0,0,0
20,0,0,0,0,0,0,0,0,1,0
21,0,0,0,1,0,0,1,1,0,0
22,1,1,1,1,1,1,1,0,1,1
23,1,0,1,0,1,0,1,1,0,0
24,1,1,0,1,1,0,1,1,1,1
25,0,1,0,1,0,0,0,0,0,0
26,1,0,1,1,1,1,1,1,1,1
27,1,1,1,1,0,1,1,1,1,1
28,0,1,1,1,1,1,0,1,1,0
29,0,1,0,1,0,0,1,0,1,1
30,1,0,1,1,1,1,1,0,0,1
31,0,1,0,1,0,0,0,1,0,0
32,0,1,0,0,1,0,1,0,1,0
33,0,0,1,0,0,1,1,0,0,0
34,1,1,1,0,0,1,1,1,1,0
35,0,0,0,0,0,1,1,0,0,1
36,0,1,0,1,1,1,1,0,0,0
37,1,0,0,0,1,1,0,1,0,1
38,0,1,1,1,1,0,0,0,1,1
39,1,0,0,1,1,1,1,1,1,1
40,0,1,1,0,1,0,0,1,0,0
41,1,1,1,1,1,1,1,1,1,1
42,0,0,1,0,0,1,1,0,1,1
43,1,1,1,0,1,1,0,1,1,1
44,1,0,1,0,1,0,1,0,0,1
45,0,1,0,0,1,0,0,1,1,0
46,1,0,1,0,0,1,1,0,1,1
47,1,1,1,1,0,0,1,0,0,1
48,0,1,1,1,1,1,1,1,1,1
49,0,1,1,1,0,0,1,0,0,0
50,1,1,1,1,1,1,1,0,0,0
51,0,0,1,1,0,1,1,1,1,0
52,0,0,0,0,0,0,0,1,0,0
53,0,0,1,1,1,0,0,0,0,0
54,1,0,0,1,1,1,1,1,1,0
55,0,1,1,1,1,1,1,1,1,1
56,0,0,0,1,0,0,0,0,0,1
57,1,1,1,0,0,1,0,0,1,1
58,1,1,1,1,1,1,1,1,1,1
59,1,0,1,1,1,0,0,1,1,0
60,1,1,1,1,1,0,0,1,0,1
61,1,1,1,1,1,1,1,1,1,1
62,0,0,1,1,0,0,1,0,0,0
63,1,0,0,0,0,1,1,0,0,0
64,0,1,0,1,0,1,1,1,1,1
65,1,0,1,1,0,1,0,0,1,1
66,0,1,1,0,0,0,0,0,0,0
67,0,1,1,0,1,0,0,0,1,1
68,1,1,0,1,1,1,0,1,1,0
69,1,0,1,1,0,1,0,0,0,0
70,0,0,0,0,0,1,0,0,0,0
71,0,0,1,1,1,1,1,1,1,0
72,0,1,0,0,1,0,0,1,0,0
73,1,1,1,1,1,1,1,0,0,0
74,0,0,1,0,1,0,0,1,0,0
75,1,1,0,1,1,1,1,1,1,1
76,1,1,1,1,0,1,0,0,1,1
77,1,1,1,1,1,0,0,0,1,1
78,1,1,1,0,0,1,1,1,1,0
79,1,1,0,1,0,1,1,1,1,1
80,0,0,1,0,0,1,0,0,0,0
81,0,0,1,1,0,0,1,1,0,0
82,1,0,0,0,0,0,1,1,0,0
83,1,1,1,0,1,1,1,1,1,1
84,0,0,0,0,0,1,0,0,1,1
85,1,1,0,1,1,1,0,1,1,1
86,1,1,1,0,1,1,1,1,1,1
87,1,1,1,0,1,1,1,0,1,0
88,0,0,1,1,1,0,1,1,0,0
89,0,1,1,1,1,1,1,1,1,1
90,0,1,0,0,0,0,0,1,0,0
91,0,1,0,1,1,1,0,0,1,0
92,1,1,1,1,0,1,0,1,0,0
93,1,0,1,1,1,1,0,1,1,1
94,0,0,1,1,0,0,1,0,0,0
95,1,1,1,0,0,1,1,1,1,1
96,1,0,1,1,0,1,1,1,1,0
97,0,1,1,1,0,1,0,1,0,1
98,0,0,0,1,0,1,0,0,1,0
99,1,0,1,0,0,0,1,1,1,1
100,1,1,1,1,1,1,1,0,0,1
